,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
3612,Terrence Rencher,1996,1996,G,6-3,185,"February 19, 1973",Texas
3613,John Rennicke,1952,1952,G,6-2,185,"August 11, 1929",Drake University
3614,Bob Rensberger,1947,1947,F,6-2,170,"March 7, 1921",Notre Dame
3615,Efthimios Rentzias,2003,2003,C,6-11,250,"January 11, 1976",
3616,Shawn Respert,1996,1999,G,6-1,195,"February 6, 1972",Michigan State
3617,Kevin Restani,1975,1982,F-C,6-9,225,"December 23, 1951",San Francisco
3618,Cameron Reynolds,2019,2019,G,6-7,225,"February 7, 1995",Tulane
3619,George Reynolds,1970,1970,G,6-4,195,"November 23, 1947",Houston
3620,Jerry Reynolds,1986,1996,G-F,6-8,200,"December 23, 1962",LSU
3621,Kendall Rhine,1968,1969,C,6-10,230,"February 13, 1943",Rice University
3622,Gene Rhodes,1953,1953,G,6-1,170,"September 2, 1927",Western Kentucky
3623,Rodrick Rhodes,1998,2000,G-F,6-6,225,"September 24, 1973","Kentucky, USC"
3624,Glen Rice,1990,2004,F,6-7,215,"May 28, 1967",Michigan
3625,Glen Rice,2014,2015,G,6-6,206,"January 1, 1991",Georgia Tech
3626,Chris Richard,2008,2010,F,6-9,270,"December 25, 1984",Florida
3627,Nick Richards,2021,2021,F-C,7-0,245,"November 29, 1997",Kentucky
3628,Clint Richardson,1980,1987,G,6-3,195,"August 7, 1956",Seattle University
3629,Jason Richardson,2002,2015,G,6-6,220,"January 20, 1981",Michigan State
3630,Jeremy Richardson,2007,2009,G-F,6-6,185,"February 11, 1984",Delta State University
3631,Josh Richardson,2016,2021,G,6-5,200,"September 15, 1993",Tennessee
3632,Malachi Richardson,2017,2019,G,6-6,205,"January 5, 1996",Syracuse
3633,Micheal Ray Richardson,1979,1986,G-F,6-5,189,"April 11, 1955",Montana
3634,Norm Richardson,2002,2002,G,6-5,190,"July 24, 1979",Hofstra
3635,Pooh Richardson,1990,1999,G,6-1,180,"May 14, 1966",UCLA
3636,Quentin Richardson,2001,2013,G,6-6,223,"April 13, 1980",DePaul
3637,Mitch Richmond*,1989,2002,G,6-5,215,"June 30, 1965",Kansas State
3638,John Richter,1960,1960,F,6-9,225,"March 12, 1937",NC State
3639,Dick Ricketts,1956,1958,F-C,6-7,215,"December 4, 1933",Duquesne
3640,Isaiah Rider,1994,2002,G,6-5,215,"March 12, 1971",UNLV
3641,Jackie Ridgle,1972,1972,G,6-4,195,"February 13, 1948",California
3642,Luke Ridnour,2004,2015,G,6-2,175,"February 13, 1981",Oregon
3643,Mel Riebe,1947,1949,G-F,5-11,180,"July 12, 1916",College of Wooster
3644,Bob Riedy,1968,1968,F,6-6,215,"August 26, 1945",Duke
3645,Jim Riffey,1951,1951,F,6-4,200,"December 14, 1923",Tulane
3646,Antoine Rigaudeau,2003,2003,G,6-7,210,"December 17, 1971",
3647,Tom Riker,1973,1975,C-F,6-10,225,"February 28, 1950",South Carolina
3648,Bob Riley,1971,1971,F,6-9,235,"July 6, 1948",Mount St. Mary's University
3649,Eric Riley,1994,1999,C,7-0,245,"June 2, 1970",Michigan
3650,Pat Riley*,1968,1976,G-F,6-4,205,"March 20, 1945",Kentucky
3651,Ron Riley,1973,1976,F,6-8,195,"November 11, 1950",USC
3652,Rich Rinaldi,1972,1974,G,6-3,195,"August 3, 1949",Saint Peter's College
3653,Mike Riordan,1969,1977,G-F,6-4,200,"July 9, 1945",Providence
3654,Arnie Risen*,1949,1958,C-F,6-9,200,"October 9, 1924",Ohio State
3655,Tex Ritter,1949,1951,G-F,6-2,185,"February 26, 1924",Eastern Kentucky University
3656,Ramón Rivas,1989,1989,F-C,6-10,260,"June 3, 1966",Temple
3657,Austin Rivers,2013,2021,G,6-4,200,"August 1, 1992",Duke
3658,David Rivers,1989,1992,G,6-0,170,"January 20, 1965",Notre Dame
3659,Doc Rivers,1984,1996,G,6-4,185,"October 13, 1961",Marquette
3660,Lee Robbins,1948,1949,F,6-3,175,"February 11, 1922",Colorado
3661,Red Robbins,1968,1975,F-C,6-8,190,"September 30, 1944",Tennessee
3662,Andre Roberson,2014,2021,G-F,6-7,210,"December 4, 1991",Colorado
3663,Anthony Roberson,2006,2009,G,6-2,180,"February 14, 1983",Florida
3664,Rick Roberson,1970,1976,C-F,6-9,231,"July 7, 1947",Cincinnati
3665,Terrance Roberson,2001,2001,F,6-7,215,"December 30, 1976",Fresno State
3666,Anthony Roberts,1978,1984,F-G,6-5,185,"April 15, 1955",Oral Roberts
3667,Bill Roberts,1949,1950,C,6-9,210,"March 13, 1925",Wyoming
3668,Brian Roberts,2013,2017,G,6-1,173,"December 3, 1985",Dayton
3669,Fred Roberts,1984,1997,F-C,6-10,218,"August 14, 1960",BYU
3670,Joe Roberts,1961,1968,F,6-6,214,"May 18, 1936",Ohio State
3671,Lawrence Roberts,2006,2007,F,6-9,240,"October 20, 1982","Baylor, Mississippi State"
3672,Marv Roberts,1972,1977,F-C,6-8,200,"January 29, 1950",Utah State University
3673,Stanley Roberts,1992,2000,C,7-0,285,"February 7, 1970",LSU
3674,Alvin Robertson,1985,1996,G,6-3,185,"July 22, 1962",Arkansas
3675,Oscar Robertson*,1961,1974,G-F,6-5,205,"November 24, 1938",Cincinnati
3676,Ryan Robertson,2000,2000,G,6-5,190,"October 2, 1976",Kansas
3677,Tony Robertson,1978,1979,G,6-4,195,"January 1, 1956",West Virginia
3678,Rick Robey,1979,1986,C-F,6-11,230,"January 30, 1956",Kentucky
3679,Bernard Robinson,2005,2007,G-F,6-6,210,"December 26, 1980",Michigan
3680,Chris Robinson,1997,1998,G,6-5,200,"April 2, 1974",Western Kentucky
3681,Cliff Robinson,1980,1992,F,6-9,220,"March 13, 1960",USC
3682,Clifford Robinson,1990,2007,F-C,6-10,225,"December 16, 1966",UConn
3683,David Robinson*,1990,2003,C,7-1,235,"August 6, 1965",United States Naval Academy
3684,Devin Robinson,2018,2019,F,6-8,200,"March 7, 1995",Florida
3685,Duncan Robinson,2019,2021,G-F,6-7,215,"April 22, 1994","Williams, Michigan"
3686,Eddie Robinson,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma
3687,Flynn Robinson,1967,1974,G,6-1,185,"April 28, 1941",Wyoming
3688,Glenn Robinson,1995,2005,F,6-7,225,"January 10, 1973",Purdue
3689,Glenn Robinson,2015,2021,G-F,6-6,222,"January 8, 1994",Michigan
3690,Jackie Robinson,1979,1982,F,6-6,210,"May 20, 1955",UNLV
3691,Jamal Robinson,2001,2001,F,6-7,212,"December 27, 1973",Virginia
3692,James Robinson,1994,2001,G,6-2,180,"August 31, 1970",Alabama
3693,Jerome Robinson,2019,2021,G,6-4,190,"February 22, 1997",Boston College
3694,Justin Robinson,2020,2020,G,6-1,195,"October 12, 1997",Virginia Tech
3695,Larry Robinson,1991,2002,F-G,6-3,180,"January 11, 1968",Centenary (LA)
3696,Mitchell Robinson,2019,2021,C,7-0,240,"April 1, 1998",Western Kentucky
3697,Nate Robinson,2006,2016,G,5-9,180,"May 31, 1984",Washington
3698,Oliver Robinson,1983,1983,G,6-4,180,"March 13, 1960",UAB
3699,Ronnie Robinson,1974,1975,F,6-8,200,"March 9, 1951",Memphis
3700,Rumeal Robinson,1991,1997,G,6-2,195,"November 13, 1966",Michigan
3701,Samuel Robinson,1971,1972,F,6-7,190,"January 1, 1948",Cal State Long Beach
3702,Thomas Robinson,2013,2017,F,6-10,237,"March 17, 1991",Kansas
3703,Truck Robinson,1975,1985,F-C,6-7,225,"October 4, 1951",Tennessee State
3704,Wayne Robinson,1981,1981,F,6-8,217,"April 19, 1958",Virginia Tech
3705,Wilbert Robinson,1974,1974,G,6-2,175,"December 25, 1949",West Virginia
3706,Bill Robinzine,1976,1982,F,6-7,230,"January 20, 1953",DePaul
3707,Dave Robisch,1972,1984,C-F,6-10,235,"December 22, 1949",Kansas
3708,Isaiah Roby,2020,2021,F,6-8,230,"February 3, 1998",Nebraska
3709,Red Rocha,1948,1957,C-F,6-9,185,"September 18, 1923",Oregon State
3710,John Roche,1972,1982,G,6-3,170,"September 26, 1949",South Carolina
3711,Gene Rock,1948,1948,G,5-9,155,"November 4, 1921",USC
3712,Jack Rocker,1948,1948,C-F,6-5,185,"August 12, 1922",California
3713,Guy Rodgers*,1959,1970,G,6-0,185,"September 1, 1935",Temple
3714,Dennis Rodman*,1987,2000,F,6-7,210,"May 13, 1961",Southeastern Oklahoma State University
3715,Sergio Rodríguez,2007,2017,G,6-3,176,"June 12, 1986",
3716,Lou Roe,1996,1997,F,6-7,220,"July 14, 1972",UMass
3717,Carlos Rogers,1995,2002,C-F,6-11,220,"February 6, 1971","Little Rock, Tennessee State"
3718,Harry Rogers,1976,1976,F,6-7,195,"December 31, 1950",Saint Louis
3719,Johnny Rogers,1987,1988,F-C,6-10,225,"December 30, 1963","Stanford, University of California, Irvine"
3720,Marshall Rogers,1977,1977,G,6-1,190,"August 27, 1953",University of Texas-Pan American
3721,Rodney Rogers,1994,2005,F,6-7,235,"June 20, 1971",Wake Forest
3722,Roy Rogers,1997,2000,F,6-10,235,"August 19, 1973",Alabama
3723,Willie Rogers,1969,1969,G-F,6-3,185,"September 11, 1945",Oklahoma
3724,Al Roges,1954,1955,G-F,6-4,195,"October 25, 1930",Long Island University
3725,Ken Rohloff,1964,1964,G,6-0,195,"April 18, 1939",NC State
3726,Kenny Rollins,1949,1953,G,6-0,168,"September 14, 1923",Kentucky
3727,Phil Rollins,1959,1961,G,6-2,185,"January 19, 1934",Louisville
3728,Tree Rollins,1978,1995,C,7-1,235,"June 16, 1955",Clemson
3729,Lorenzo Romar,1981,1985,G,6-1,175,"November 13, 1958",Washington
3730,Rajon Rondo,2007,2021,G,6-1,180,"February 22, 1986",Kentucky
3731,Jerry Rook,1970,1970,F,6-5,219,"October 27, 1943",Arkansas State University
3732,Sean Rooks,1993,2004,C,6-10,250,"September 9, 1969",Arizona
3733,Derrick Rose,2009,2021,G,6-2,200,"October 4, 1988",Memphis
3734,Jalen Rose,1995,2007,G-F,6-8,210,"January 30, 1973",Michigan
3735,Malik Rose,1997,2009,F-C,6-7,250,"November 23, 1974",Drexel
3736,Rob Rose,1989,1989,G,6-5,180,"December 27, 1964",George Mason
3737,Petey Rosenberg,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's
3738,Lennie Rosenbluth,1958,1959,F,6-4,190,"January 22, 1933",UNC
3739,Hank Rosenstein,1947,1947,F,6-4,185,"June 16, 1920",City College of New York
3740,Dick Rosenthal,1955,1957,F-G,6-5,205,"January 20, 1930",Notre Dame
3741,Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",SMU
3742,Terrence Ross,2013,2021,F-G,6-6,206,"February 5, 1991",Washington
3743,Doug Roth,1990,1990,C,6-11,255,"August 24, 1967",Tennessee
3744,Scott Roth,1988,1990,F,6-8,212,"June 3, 1963",Wisconsin
3745,Irv Rothenberg,1947,1949,C,6-7,215,"December 31, 1921",Long Island University
3746,Mickey Rottner,1947,1948,G,5-10,180,"March 23, 1919",Loyola Chicago
3747,Dan Roundfield,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University
3748,Giff Roux,1947,1949,F-C,6-5,195,"June 28, 1923",Kansas
3749,Ron Rowan,1987,1987,G,6-5,200,"April 23, 1962","Notre Dame, St. John's"
3750,Curtis Rowe,1972,1979,F,6-7,225,"July 2, 1949",UCLA
3751,Jim Rowinski,1989,1990,F-C,6-8,250,"January 4, 1961",Purdue
3752,Derrick Rowland,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam
3753,Brian Rowsom,1988,1990,F,6-9,220,"October 23, 1965",UNC Wilmington
3754,Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",Washington
3755,Donald Royal,1990,1998,F,6-8,210,"May 22, 1966",Notre Dame
3756,Reggie Royals,1975,1975,C,6-10,200,"September 18, 1950",Florida State
3757,Bob Royer,1950,1950,G,5-10,155,"October 15, 1927",Indiana State University
3758,Clifford Rozier,1995,1998,C-F,6-11,245,"October 31, 1972","UNC, Louisville"
3759,Terry Rozier,2016,2021,G,6-1,190,"March 17, 1994",Louisville
3760,Ricky Rubio,2012,2021,G,6-3,190,"October 21, 1990",
3761,Guy Rucker,2003,2003,F-C,6-11,265,"July 27, 1977",Iowa
3762,Delaney Rudd,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest
3763,John Rudd,1979,1979,F,6-7,230,"August 7, 1955",McNeese State University
3764,Damjan Rudež,2015,2017,F,6-10,228,"June 17, 1986",
3765,John Rudometkin,1963,1965,F,6-6,205,"June 6, 1940",USC
3766,Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",Tulsa
3767,Trevor Ruffin,1995,1996,G,6-1,185,"September 26, 1970",Hawaii
3768,Paul Ruffner,1971,1976,C-F,6-10,225,"October 15, 1948",BYU
3769,Joe Ruklick,1960,1962,F-C,6-9,220,"August 3, 1938",Northwestern
3770,Jeff Ruland,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College
3771,Bob Rule,1968,1975,C-F,6-9,220,"June 29, 1944",Colorado State
3772,Jerry Rullo,1947,1950,G,5-10,165,"June 23, 1923",Temple
3773,Stefano Rusconi,1996,1996,C-F,6-9,240,"October 2, 1968",
3774,Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",Kansas
3775,Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",Missouri
3776,Bill Russell*,1957,1969,C,6-10,215,"February 12, 1934",San Francisco
3777,Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970",Cal State Long Beach
3778,Campy Russell,1975,1985,F,6-8,215,"January 12, 1952",Michigan
3779,Cazzie Russell,1967,1978,F-G,6-5,218,"June 7, 1944",Michigan
3780,D'Angelo Russell,2016,2021,G,6-4,193,"February 23, 1996",Ohio State
3781,Frank Russell,1973,1973,G,6-3,180,"April 17, 1949",Detroit Mercy
3782,Pierre Russell,1972,1973,F-G,6-4,190,"December 13, 1949",Kansas
3783,Rubin Russell,1968,1968,G,6-2,180,"November 7, 1944",University of North Texas
3784,Walker Russell,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan"
3785,Walker Russell,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
3786,Arvydas Sabonis*,1996,2003,C,7-3,279,"December 19, 1964",
3787,Domantas Sabonis,2017,2021,F-C,6-11,240,"May 3, 1996",Gonzaga
3788,Robert Sacre,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga
3789,Ed Sadowski,1947,1950,C,6-5,240,"July 11, 1917",Seton Hall
3790,Kenny Sailors,1947,1951,G,5-10,175,"January 14, 1921",Wyoming
3791,John Salley,1987,2000,F-C,6-11,230,"May 16, 1964",Georgia Tech
3792,John Salmons,2003,2015,G,6-7,210,"December 12, 1979",Miami (FL)
3793,Al Salvadori,1968,1968,F,6-9,220,"May 6, 1945",South Carolina
3794,Kevin Salvadori,1997,1998,C,7-0,231,"December 30, 1970",UNC
3795,Soumaila Samake,2001,2003,C,7-0,230,"March 18, 1978",
3796,Luka Šamanić,2020,2021,F,6-10,227,"January 9, 2000",
3797,Cheikh Samb,2008,2009,C,7-1,245,"October 22, 1984",
3798,Brandon Sampson,2019,2019,G,6-5,184,"May 1, 1997",LSU
3799,JaKarr Sampson,2015,2021,G-F,6-7,214,"March 20, 1993",St. John's
3800,Jamal Sampson,2003,2007,F-C,6-11,235,"May 15, 1983",California
3801,Ralph Sampson*,1984,1992,C-F,7-4,228,"July 7, 1960",Virginia
3802,Samardo Samuels,2011,2013,F,6-9,260,"January 9, 1989",Louisville
3803,Pepe Sánchez,2001,2003,G,6-4,195,"May 8, 1977",Temple
3804,Al Sanders,1973,1973,F,6-7,240,"January 1, 1950",LSU
3805,Frankie Sanders,1979,1981,F-G,6-6,200,"January 23, 1957",Southern University and A&M College
3806,Jeff Sanders,1990,1993,F,6-8,225,"January 14, 1966",Georgia Southern University
3807,Larry Sanders,2011,2017,C-F,6-11,235,"November 21, 1988",VCU
3808,Melvin Sanders,2006,2006,G-F,6-5,210,"January 3, 1981","Seward County Community College, Oklahoma State"
3809,Mike Sanders,1983,1993,F-G,6-6,210,"May 7, 1960",UCLA
3810,Tom Sanders*,1961,1973,F,6-6,210,"November 8, 1938",NYU
3811,Ron Sanford,1972,1972,F,6-9,215,"June 11, 1946",New Mexico
3812,Daniel Santiago,2001,2005,C,7-1,256,"June 24, 1976","New Mexico, Saint Vincent College"
3813,Bob Santini,1956,1956,F,6-5,190,"February 17, 1935",Iona College
3814,Wayne Sappleton,1985,1985,F,6-9,215,"November 17, 1960",Loyola Chicago
3815,Dario Šarić,2017,2021,F-C,6-10,225,"April 8, 1994",
3816,Jason Sasser,1997,1999,F,6-7,225,"January 13, 1974",Texas Tech
3817,Jeryl Sasser,2002,2003,G,6-6,200,"February 13, 1979",SMU
3818,Tomáš Satoranský,2017,2021,G,6-7,210,"October 30, 1991",
3819,Kenny Satterfield,2002,2003,G,6-2,186,"April 10, 1981",Cincinnati
3820,Pep Saul,1950,1955,G-F,6-2,185,"February 16, 1924",Seton Hall
3821,Woody Sauldsberry,1958,1966,F-C,6-7,220,"July 11, 1934",Texas Southern
3822,Glynn Saulters,1969,1969,G,6-2,175,"February 10, 1945",Louisiana-Monroe
3823,Fred Saunders,1975,1978,F,6-7,210,"June 13, 1951",Syracuse
3824,Don Savage,1952,1957,F-G,6-3,205,"April 9, 1928",LeMoyne College
3825,Predrag Savović,2003,2003,G,6-6,225,"May 21, 1976","UAB, Hawaii"
3826,Alan Sawyer,1951,1951,F,6-5,195,"January 1, 1928",UCLA
3827,Brian Scalabrine,2002,2012,F,6-9,241,"March 18, 1978",USC
3828,Alex Scales,2006,2006,G,6-4,185,"July 3, 1978",Oregon
3829,DeWayne Scales,1981,1984,F,6-8,208,"December 28, 1958",LSU
3830,Frank Schade,1973,1973,G,6-1,170,"January 22, 1950",University of Wisconsin-Eau Claire
3831,Ben Schadler,1948,1948,F,6-0,185,"March 9, 1924",Northwestern
3832,Herm Schaefer,1949,1950,G-F,6-0,175,"December 20, 1918",Indiana
3833,Billy Schaeffer,1974,1976,F,6-5,200,"December 11, 1951",St. John's
3834,Bob Schafer,1956,1957,G,6-3,195,"March 29, 1933",Villanova
3835,Ben Scharnus,1947,1949,F,6-2,173,"December 11, 1917",Seton Hall
3836,Marv Schatzman,1950,1950,F,6-5,200,"February 18, 1927",Saint Louis
3837,Fred Schaus,1950,1954,F,6-5,205,"June 30, 1925",West Virginia
3838,Danny Schayes,1982,1999,C-F,6-11,235,"May 10, 1959",Syracuse
3839,Dolph Schayes*,1950,1964,F-C,6-8,220,"May 19, 1928",NYU
3840,Ossie Schectman,1947,1947,G,6-0,175,"March 30, 1919",Long Island University
3841,Steve Scheffler,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue
3842,Tom Scheffler,1985,1985,C,6-11,240,"October 27, 1954",Purdue
3843,Dave Schellhase,1967,1968,G,6-3,205,"October 14, 1944",Purdue
3844,Luke Schenscher,2006,2007,C,7-1,255,"December 31, 1982",Georgia Tech
3845,Herb Scherer,1951,1952,C,6-9,212,"December 21, 1928",Long Island University
3846,Dwayne Schintzius,1991,1999,C,7-1,260,"October 14, 1968",Florida
3847,Dale Schlueter,1969,1978,C,6-10,225,"November 12, 1945",Colorado State
3848,Otto Schnellbacher,1949,1949,F-G,6-4,185,"April 15, 1923",Kansas
3849,Dick Schnittker,1951,1958,F,6-5,200,"May 27, 1928",Ohio State
3850,Russ Schoene,1983,1989,F-C,6-10,210,"April 16, 1960",Chattanooga
3851,Admiral Schofield,2020,2020,G-F,6-5,241,"March 30, 1997",Tennessee
3852,Dave Scholz,1970,1970,F,6-8,220,"April 12, 1948",Illinois
3853,Milt Schoon,1947,1950,C,6-7,230,"February 25, 1922",Valparaiso
3854,Detlef Schrempf,1986,2001,F-C,6-10,235,"January 21, 1963",Washington
3855,Dennis Schröder,2014,2021,G,6-3,172,"September 15, 1993",
3856,Howie Schultz,1950,1953,C-F,6-6,200,"July 3, 1922",Hamline University
3857,Dick Schulz,1947,1950,F-G,6-2,192,"January 3, 1917",Wisconsin
3858,Roger Schurig,1968,1968,G,6-3,185,"April 3, 1942",Vanderbilt
3859,John Schweitz,1985,1987,G,6-6,210,"April 19, 1960",Richmond
3860,Luis Scola,2008,2017,F,6-9,240,"April 30, 1980",
3861,Fred Scolari,1947,1955,G,5-10,180,"March 1, 1922",San Francisco
3862,Alvin Scott,1978,1985,F-G,6-7,185,"September 14, 1955",Oral Roberts
3863,Brent Scott,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University
3864,Byron Scott,1984,1997,G,6-3,195,"March 28, 1961",Arizona State
3865,Charlie Scott*,1971,1980,G-F,6-5,175,"December 15, 1948",UNC
3866,Dennis Scott,1991,2000,F,6-8,229,"September 5, 1968",Georgia Tech
3867,James Scott,1997,1997,F,6-6,180,"June 6, 1972",St. John's
3868,Mike Scott,2013,2021,F,6-7,237,"July 16, 1988",Virginia
3869,Ray Scott,1962,1972,F-C,6-9,215,"July 12, 1938",University of Portland
3870,Shawnelle Scott,1997,2002,C,6-10,250,"June 16, 1972",St. John's
3871,Willie Scott,1970,1970,F,6-5,210,"May 22, 1947",Alabama State University
3872,Paul Scranton,1968,1968,F,6-5,230,"April 30, 1944",Cal Poly Pomona
3873,Carey Scurry,1986,1988,F,6-7,188,"December 4, 1962",Long Island University
3874,Bruce Seals,1974,1978,F,6-8,210,"June 18, 1953",Xavier University of Louisiana
3875,Shea Seals,1998,1998,G,6-5,210,"August 26, 1975",Tulsa
3876,Malik Sealy,1993,2000,G,6-8,190,"February 1, 1970",St. John's
3877,Ed Searcy,1976,1976,F,6-6,210,"April 17, 1952",St. John's
3878,Kenny Sears,1956,1964,F,6-9,198,"August 17, 1933",Santa Clara
3879,Wayne See,1950,1950,G,6-3,190,"November 3, 1923",Northern Arizona University
3880,Thabo Sefolosha,2007,2020,G-F,6-6,215,"May 2, 1984",
3881,Rony Seikaly,1989,1999,C,6-11,230,"May 10, 1965",Syracuse
3882,Glen Selbo,1950,1950,G-F,6-3,196,"March 29, 1926",Wisconsin
3883,Josh Selby,2012,2013,G,6-2,183,"March 27, 1991",Kansas
3884,Wayne Selden,2017,2019,G-F,6-5,230,"September 30, 1994",Kansas
3885,Brad Sellers,1987,1993,C-F,7-0,210,"December 17, 1962","Wisconsin, Ohio State"
3886,Phil Sellers,1977,1977,F-G,6-4,195,"November 20, 1953",Rutgers University
3887,Rollie Seltz,1950,1950,G-F,5-10,165,"January 25, 1924",Hamline University
3888,Lester Selvage,1968,1970,G,6-1,175,"March 7, 1943",Truman State University
3889,Frank Selvy,1955,1964,G-F,6-3,180,"November 9, 1932",Furman University
3890,Jim Seminoff,1947,1950,G-F,6-2,190,"September 1, 1922",USC
3891,Mouhamed Sene,2007,2009,C-F,6-11,230,"May 12, 1986",
3892,George Senesky,1947,1954,G,6-2,179,"April 4, 1922",Saint Joseph's
3893,Kevin Séraphin,2011,2017,F,6-9,285,"December 7, 1989",
3894,Ansu Sesay,2002,2005,F,6-9,225,"July 29, 1976",Ole Miss
3895,Ramon Sessions,2008,2018,G,6-3,190,"April 11, 1986",Nevada
3896,Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",
3897,Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",Lamar
3898,Collin Sexton,2019,2021,G,6-1,190,"January 4, 1999",Alabama
3899,Paul Seymour,1948,1960,G-F,6-1,180,"January 30, 1928",Toledo
3900,Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",
3901,Lynn Shackelford,1970,1970,F,6-5,190,"August 27, 1947",UCLA
3902,Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",NC State
3903,Carl Shaeffer,1950,1951,F-G,6-3,185,"October 25, 1924",Alabama
3904,Lee Shaffer,1962,1964,F,6-7,220,"February 23, 1939",UNC
3905,Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",Arizona
3906,Landry Shamet,2019,2021,G,6-4,190,"March 13, 1997",Wichita State
3907,God Shammgod,1998,1998,G,6-0,169,"April 29, 1976",Providence
3908,Earl Shannon,1947,1949,G-F,5-11,170,"November 23, 1921",Rhode Island
3909,Howie Shannon,1949,1950,G-F,6-2,175,"June 10, 1923",Kansas State
3910,Chuck Share,1952,1960,C,6-11,235,"March 14, 1927",Bowling Green
3911,Bill Sharman*,1951,1961,G,6-1,175,"May 25, 1926",USC
3912,Walter Sharpe,2009,2009,F,6-9,245,"July 18, 1986","Mississippi State, UAB"
3913,John Shasky,1989,1991,C,6-11,235,"July 31, 1964",Minnesota
3914,Ron Shavlik,1957,1958,F,6-8,200,"December 4, 1933",NC State
3915,Brian Shaw,1989,2003,G,6-6,190,"March 22, 1966","Saint Mary's, UC Santa Barbara"
3916,Casey Shaw,1999,1999,C,6-11,260,"July 20, 1975",Toledo
3917,Marial Shayok,2020,2020,G,6-5,198,"July 26, 1995","Virginia, Iowa State"
3918,Bob Shea,1947,1947,F,6-2,194,"September 11, 1924",Rhode Island
3919,Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",Utah
3920,Craig Shelton,1981,1982,F,6-7,210,"May 1, 1957",Georgetown
3921,Lonnie Shelton,1977,1986,F-C,6-8,240,"October 19, 1955",Oregon State
3922,Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",
3923,Billy Shepherd,1973,1975,G,5-10,160,"November 18, 1949",Butler
3924,Jeff Sheppard,1999,1999,G,6-3,190,"September 29, 1974",Kentucky
3925,Steve Sheppard,1978,1979,F,6-6,215,"March 21, 1954",Maryland
3926,Ed Sherod,1983,1983,G,6-2,170,"September 13, 1959",VCU
3927,Charley Shipp,1950,1950,G-F,6-1,200,"December 3, 1913",Catholic University of America
3928,Paul Shirley,2003,2005,F-C,6-10,230,"December 23, 1977",Iowa State
3929,Gene Short,1976,1976,F,6-6,200,"August 7, 1953",Jackson State University
3930,Purvis Short,1979,1990,F-G,6-7,210,"July 2, 1957",Jackson State University
3931,Dexter Shouse,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama
3932,Dick Shrider,1949,1949,G,6-2,190,"February 7, 1923",Ohio University
3933,Gene Shue,1955,1964,G,6-2,170,"December 18, 1931",Maryland
3934,John Shumate,1976,1981,F-C,6-9,235,"April 6, 1952",Notre Dame
3935,Iman Shumpert,2012,2021,G,6-5,215,"June 26, 1990",Georgia Tech
3936,Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",
3937,Pascal Siakam,2017,2021,F,6-9,230,"April 2, 1994",New Mexico State
3938,Jordan Sibert,2019,2019,G,6-4,187,"August 1, 1992","Ohio State, Dayton"
3939,Sam Sibert,1973,1973,F,6-7,215,"February 11, 1949",Kentucky State University
3940,Mark Sibley,1974,1974,G,6-2,175,"November 13, 1950",Northwestern
3941,Jerry Sichting,1981,1990,G,6-1,168,"November 29, 1956",Purdue
3942,Donald Sidle,1969,1972,F-C,6-8,215,"June 21, 1946",Oklahoma
3943,Larry Siegfried,1964,1972,F,6-3,190,"May 22, 1939",Ohio State
3944,Ralph Siewert,1947,1947,C,7-1,230,"December 31, 1923",Dakota Wesleyan University
3945,Jack Sikma*,1978,1991,C-F,6-11,230,"November 14, 1955",Illinois Wesleyan University
3946,James Silas,1973,1982,G,6-1,180,"February 11, 1949",Stephen F. Austin
3947,Paul Silas,1965,1980,F-C,6-7,220,"July 12, 1943",Creighton
3948,Xavier Silas,2012,2018,G,6-5,205,"January 22, 1988","Colorado, Northern Illinois"
3949,Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
3950,Mike Silliman,1971,1971,F,6-6,225,"May 5, 1944",United States Military Academy
